ETF,start_date,end_date,duration,event,start_drawdown_depth,roll_vol_21,roll_mean_21
SPY,2019-06-21,2019-07-01,6,1,0.0014533926751436647,0.008240094222435459,0.0016064075449899922
SPY,2019-07-05,2019-07-11,4,1,0.0011377584736435272,0.00510001595970873,0.0027705777069008874
SPY,2019-07-16,2019-07-24,6,1,0.0032251284485788124,0.0050504285707050145,0.0019321548485335617
SPY,2019-07-25,2019-07-26,1,1,0.0047769067560372025,0.004635296925179351,0.001489722127470013
SPY,2019-07-29,2019-10-25,63,1,0.0018212242109516804,0.004779956228976054,0.0015998685747385263
SPY,2019-10-29,2019-10-30,1,1,0.000296634224995234,0.008471733856712405,0.0010222997434295971
SPY,2019-10-31,2019-11-01,1,1,0.002663326823788017,0.006655718054747893,0.002459647849810395
SPY,2019-11-05,2019-11-07,2,1,0.0011060824908625225,0.006109176561206094,0.002214291839685561
SPY,2019-11-11,2019-11-12,1,1,0.0019097043635131652,0.003934668143187475,0.00190146938023719
SPY,2019-11-19,2019-11-25,4,1,0.0002884517037525717,0.0031451953925768004,0.0018585589956376988
SPY,2019-11-29,2019-12-12,9,1,0.003708851377909721,0.003598736565435783,0.0015662637217376495
SPY,2019-12-27,2020-01-02,3,1,0.0002477603078266716,0.004646262534151422,0.0015464607174996811
SPY,2020-01-03,2020-01-09,4,1,0.007572033719726617,0.004539498806386901,0.0021718502581819002
SPY,2020-01-10,2020-01-13,1,1,0.002877608407670869,0.004431871747229336,0.002048435159256108
SPY,2020-01-14,2020-01-15,1,1,0.0015242353315896627,0.004379586957372487,0.0017584747999330932
SPY,2020-01-21,2020-02-05,11,1,0.0019584629157163255,0.00452145293277068,0.0019471284984730417
SPY,2020-02-07,2020-02-10,1,1,0.005329341170551316,0.00841751917785998,0.0011240905990134453
SPY,2020-02-13,2020-02-14,1,1,0.001067075735457852,0.008370227014289668,0.0013773974560020367
SPY,2020-02-18,2020-02-19,1,1,0.0025769466150077167,0.008252680148097984,0.0008288031635607414
SPY,2020-02-20,2020-08-10,119,1,0.004108351770693254,0.008334088979097976,0.0008052605419071876
SPY,2020-08-11,2020-08-12,1,1,0.008254584449282482,0.006894270976265995,0.002641756555258652
SPY,2020-08-13,2020-08-17,2,1,0.001807915293531313,0.006870933145658618,0.0021663085701709448
SPY,2020-08-19,2020-08-21,2,1,0.00416366447763082,0.006787609254186891,0.001757592238253365
SPY,2020-08-31,2020-09-01,1,1,0.003622483296135,0.005143096767134942,0.003212796714802529
SPY,2020-09-03,2020-11-11,48,1,0.034414589384114,0.0102272931622537,0.001867048563114249
SPY,2020-11-12,2020-11-13,1,1,0.00970095670262728,0.013543052622542098,0.0007172177061251119
SPY,2020-11-17,2020-11-24,5,1,0.0053783656099132705,0.013566159235735283,0.0025230968150278493
SPY,2020-11-25,2020-11-27,1,1,0.001541656167802961,0.013540628432684958,0.0033223421536389985
SPY,2020-11-30,2020-12-01,1,1,0.004427331099767259,0.010499075732042866,0.004417982935949863
SPY,2020-12-03,2020-12-04,1,1,0.0002724977107858651,0.009575740863342843,0.004157919044055126
SPY,2020-12-07,2020-12-08,1,1,0.002055307076140092,0.008007303745174221,0.0024962689322746787
SPY,2020-12-09,2020-12-16,5,1,0.008969011816748603,0.00803625579017617,0.0016226315139741625
SPY,2020-12-18,2020-12-28,5,1,0.003992598163089994,0.00652813102478569,0.0018962482953372932
SPY,2020-12-29,2020-12-31,2,1,0.0019077796964112003,0.005653065356661749,0.0012117987524745142
SPY,2021-01-04,2021-01-07,3,1,0.013614022891060382,0.006077357946968101,0.0004615102130098478
SPY,2021-01-11,2021-01-20,6,1,0.006740768056753895,0.006677971024952778,0.001715178467119874
SPY,2021-01-22,2021-01-25,1,1,0.0035394044337341093,0.006890930732016636,0.0019056810850654193
SPY,2021-01-26,2021-02-04,7,1,0.0015610932411442605,0.0068972817978065195,0.002056276071678891
SPY,2021-02-09,2021-02-11,2,1,0.0006656064309216118,0.01033117757845716,0.0011098114269398834
SPY,2021-02-16,2021-03-11,17,1,0.0008660461324648994,0.010152820246003658,0.0017103038118730259
SPY,2021-03-16,2021-03-17,1,1,0.001261285265563315,0.011240040958319913,0.00039494904753702685
SPY,2021-03-18,2021-03-26,6,1,0.014549664537802367,0.011737519314049354,-0.00011056494920264828
SPY,2021-03-29,2021-03-31,2,1,0.0005051623999969147,0.010690729650187122,0.002048108211959712
SPY,2021-04-06,2021-04-07,1,1,0.0005905177040729559,0.007884012247851221,0.0028685499775080677
SPY,2021-04-14,2021-04-15,1,1,0.003415145559578707,0.007180916751418842,0.0019289653004702532
SPY,2021-04-19,2021-04-26,5,1,0.004913023278286434,0.006508706299191524,0.0029580896764420557
SPY,2021-04-27,2021-04-29,2,1,0.00021563511034100724,0.0063358016263885715,0.0025223043652675722
SPY,2021-04-30,2021-05-07,5,1,0.0065704799859738275,0.006595775285843212,0.002455156816067656
SPY,2021-05-10,2021-06-04,18,1,0.00990233052746531,0.006511624208960777,0.0007406280792295677
SPY,2021-06-07,2021-06-10,3,1,0.0009703430684644688,0.008616462057522615,0.0003532102376084281
SPY,2021-06-15,2021-06-24,7,1,0.0018343478053750371,0.004677729638737461,0.0008945869860362122
SPY,2021-07-06,2021-07-07,1,1,0.0018214625381782832,0.005441078607508444,0.001305526830855157
SPY,2021-07-08,2021-07-09,1,1,0.00814795160319576,0.005830727053018029,0.001120003480241474
SPY,2021-07-13,2021-07-23,8,1,0.0034089669086357632,0.006227247453158994,0.001404916306343272
SPY,2021-07-27,2021-08-03,5,1,0.004557777971913974,0.006982522771821183,0.001364380244766378
SPY,2021-08-04,2021-08-05,1,1,0.00491921314737272,0.007223484859156961,0.0006608423567894555
SPY,2021-08-09,2021-08-10,1,1,0.0008135220270676848,0.0066822775563424724,0.0007172960647916444
SPY,2021-08-17,2021-08-23,4,1,0.006555010037409214,0.0052873208102844045,0.002090295807470563
SPY,2021-08-26,2021-08-27,1,1,0.005903193374563463,0.005190269350093779,0.000799499143673508
SPY,2021-08-31,2021-09-02,2,1,0.0014818156389739406,0.005294428057773372,0.001496462000583968
SPY,2021-09-03,2021-10-20,32,1,0.00024261338888145094,0.0047807395214242284,0.0012048474737133418
SPY,2021-10-22,2021-10-25,1,1,0.0010361403202465602,0.008844290669124018,0.001056232785555555
SPY,2021-10-27,2021-10-28,1,1,0.004429889056263037,0.007459085827416145,0.0021698145842342378
SPY,2021-11-09,2021-11-16,5,1,0.003305326030564019,0.0047061986536543286,0.003452829060929073
SPY,2021-11-17,2021-11-18,1,1,0.002429066391206908,0.004154099984601163,0.0018142296599822545
SPY,2021-11-19,2021-12-10,14,1,0.0017882110901846812,0.0042094520985011385,0.0015797388005059844
SPY,2021-12-13,2021-12-23,8,1,0.008858424582462691,0.010865684910664185,0.00028663411965838386
SPY,2021-12-28,2021-12-29,1,1,0.0008174037035988622,0.012046294024644858,0.0019888490909936484
SPY,2021-12-30,2022-01-03,2,1,0.0027645042386433756,0.010842928125983644,0.00227302915959925
SPY,2022-01-04,2023-12-13,488,1,0.00033473931067268514,0.009802015316935343,0.0026360507347515847
SPY,2023-12-15,2023-12-18,1,1,0.0016465000117034214,0.004410424765173764,0.00222934501584897
