ETF,start_date,end_date,duration,event,VaR_95_start,roll_vol_21,roll_mean_21,start_loss,breach_loss
SPY,2023-05-10,2023-08-10,63,0,0.01594574903071394,0.008882917857406024,0.00036241215996373415,-0.004661750620943733,
SPY,2023-05-11,2023-08-11,63,0,0.01594574903071394,0.008838938767322464,0.00047376749376939553,0.0017456010871147343,
SPY,2023-05-12,2023-08-14,63,0,0.01594574903071394,0.008348257999516344,-0.00021701295607034932,0.0013112227367664488,
SPY,2023-05-15,2023-08-15,63,0,0.01594574903071394,0.008368550498994357,6.345935287941107e-05,-0.003444125604280524,
SPY,2023-05-16,2023-08-16,63,0,0.01594574903071394,0.008452950696953477,-0.00042639849523809585,0.006705103336747419,
SPY,2023-05-17,2023-08-17,63,0,0.01594574903071394,0.008881829940599958,0.00011711684690583295,-0.012065888132803713,
SPY,2023-05-18,2023-08-18,63,0,0.01594574903071394,0.009118128382800692,0.0005816989379914159,-0.009587159551169577,
SPY,2023-05-19,2023-08-21,63,0,0.01594574903071394,0.00902647154243728,0.0007729256404597362,0.0014561812900801081,
SPY,2023-05-22,2023-08-22,63,0,0.015356135182903156,0.009026826323343754,0.0007552736542717457,-0.0004059696375324543,
SPY,2023-05-23,2023-08-23,63,0,0.015356135182903156,0.009400397087913813,0.00016819228123412573,0.01128623286494557,
SPY,2023-05-24,2023-08-24,63,0,0.015356135182903156,0.00882502018645358,0.0005838983701515393,0.007271286890986823,
SPY,2023-05-25,2023-08-25,63,0,0.015356135182903156,0.00891920728218509,0.001196637132005208,-0.008622859359472386,
SPY,2023-05-26,2023-08-28,63,0,0.015356135182903156,0.008313188918469166,0.0008706789534278288,-0.012867434351480423,
SPY,2023-05-30,2023-08-29,63,0,0.015356135182903156,0.008127406994087613,0.00048410698032706073,-0.0003808425883227611,
SPY,2023-05-31,2023-08-30,63,0,0.015356135182903156,0.008229255026444475,0.00026743212709341946,0.00556048321997702,
SPY,2023-06-01,2023-08-31,63,0,0.015356135182903156,0.008013910751741439,0.0012559388278753406,-0.009455985703033517,
SPY,2023-06-02,2023-09-01,63,0,0.015356135182903156,0.0082713298241966,0.002267627482784115,-0.014357703211042622,
SPY,2023-06-05,2023-09-05,63,0,0.015356135182903156,0.008051810477917401,0.0025147644480850613,0.0019181636143352572,
SPY,2023-06-06,2023-09-06,63,0,0.014256937776184357,0.007189448633583677,0.0017448499903649165,-0.0021749204036941683,
SPY,2023-06-07,2023-09-07,63,0,0.014256937776184357,0.007273385921301807,0.001567231049063805,0.003463574535270854,
SPY,2023-06-08,2023-08-02,37,1,0.011715406172835894,0.007201522526110545,0.002063668846435955,-0.006030256187603458,0.014008434153357167
SPY,2023-06-09,2023-08-02,36,1,0.011301012798542702,0.007176941883682209,0.0019270578838615088,-0.0017929204068803568,0.014008434153357167
SPY,2023-06-12,2023-08-02,35,1,0.011301012798542702,0.007285659884112518,0.0024402278381263393,-0.009030967952446714,0.014008434153357167
SPY,2023-06-13,2023-08-02,34,1,0.011301012798542702,0.007285774335906332,0.002815584469235494,-0.0065712665165258,0.014008434153357167
SPY,2023-06-14,2023-08-02,33,1,0.011301012798542702,0.007292652681060387,0.0027082450850308025,-0.0011899985359819978,0.014008434153357167
SPY,2023-06-15,2023-08-02,32,1,0.011301012798542702,0.007246457338856382,0.0036142801714354805,-0.012321633477750825,0.014008434153357167
SPY,2023-06-16,2023-08-02,31,1,0.010884738267549689,0.0071300615939836,0.0028772317857769015,0.003412127966026445,0.014008434153357167
SPY,2023-06-20,2023-08-02,30,1,0.010884738267549689,0.007164456900420379,0.0021729937340752704,0.0052018395345646805,0.014008434153357167
SPY,2023-06-21,2023-08-02,29,1,0.010884738267549689,0.007301396104625102,0.0019977202764737555,0.005136923899711921,0.014008434153357167
SPY,2023-06-22,2023-06-23,1,1,0.007254962190453652,0.007299879857989309,0.002149970940001503,-0.003603233571615157,0.007588765464323826
SPY,2023-06-23,2023-07-06,8,1,0.007557017606990125,0.006997947271374878,0.002326040816221586,0.007588765464323826,0.007861450891039729
SPY,2023-06-26,2023-07-06,7,1,0.007557017606990125,0.006811950443903411,0.0024773381872305843,0.004094042099797862,0.007861450891039729
SPY,2023-06-27,2023-07-06,6,1,0.007557017606990125,0.006931959686209389,0.002585948236033453,-0.010903670384332625,0.007861450891039729
SPY,2023-06-28,2023-07-06,5,1,0.007557017606990125,0.006528349130701918,0.0019972327217825095,-0.0005044085522106051,0.007861450891039729
SPY,2023-06-29,2023-07-06,4,1,0.007557017606990125,0.006530399622579991,0.0021664087853557395,-0.003933539923360592,0.007861450891039729
SPY,2023-06-30,2023-07-06,3,1,0.007557017606990125,0.0065972481185141135,0.0029898470695928305,-0.011731720749001912,0.007861450891039729
SPY,2023-07-03,2023-07-06,2,1,0.007557017606990125,0.006437248908404115,0.002594308504920781,-0.001149675844920465,0.007861450891039729
SPY,2023-07-05,2023-07-06,1,1,0.007557017606990125,0.005895323364884657,0.0018397370102467376,0.0014882981771122902,0.007861450891039729
SPY,2023-07-06,2023-08-02,19,1,0.007834182348368138,0.006218544642922441,0.0015567233304036676,0.007861450891039729,0.014008434153357167
SPY,2023-07-07,2023-08-02,18,1,0.007834182348368138,0.006279551679159975,0.0013327756547177197,0.002527980785710738,0.014008434153357167
SPY,2023-07-10,2023-08-02,17,1,0.007834182348368138,0.00618615172140851,0.001618087812859705,-0.0025279807857108384,0.014008434153357167
SPY,2023-07-11,2023-08-02,16,1,0.007834182348368138,0.006197871829672784,0.0016332326609824924,-0.00634829799818199,0.014008434153357167
SPY,2023-07-12,2023-08-02,15,1,0.007834182348368138,0.006352623750557501,0.0019294687496856247,-0.00801387826964614,0.014008434153357167
SPY,2023-07-13,2023-08-02,14,1,0.007834182348368138,0.006294193873391978,0.001875873534848084,-0.007905468440858356,0.014008434153357167
SPY,2023-07-14,2023-08-02,13,1,0.007834182348368138,0.006221215116181278,0.0015332915362843442,0.0006229554533127373,0.014008434153357167
SPY,2023-07-17,2023-08-02,12,1,0.007834182348368138,0.006234749215629652,0.00164168258948592,-0.003466210653215088,0.014008434153357167
SPY,2023-07-18,2023-08-02,11,1,0.007834182348368138,0.005896696359902531,0.0014074588570519326,-0.007402935096637092,0.014008434153357167
SPY,2023-07-19,2023-08-02,10,1,0.007834182348368138,0.005793718252195632,0.0016757242709306292,-0.0022214457254261855,0.014008434153357167
SPY,2023-07-20,2023-08-02,9,1,0.007834182348368138,0.005888000480956068,0.0016064453434728888,0.006656697011177237,0.014008434153357167
SPY,2023-07-21,2023-08-02,8,1,0.007834182348368138,0.005697464613096239,0.0018510607672686942,-0.0,0.014008434153357167
SPY,2023-07-24,2023-08-02,7,1,0.007834182348368138,0.00571362282064765,0.0018917307430544614,-0.004457303063116265,0.014008434153357167
SPY,2023-07-25,2023-08-02,6,1,0.007834182348368138,0.005285167455262722,0.002382936982065185,-0.0027265655549013686,0.014008434153357167
SPY,2023-07-26,2023-08-02,5,1,0.007557017606990125,0.005103035909494554,0.002585204783594359,-0.00015358173231479444,0.014008434153357167
SPY,2023-07-27,2023-08-02,4,1,0.007557017606990125,0.00511015511753474,0.001749216570703495,0.006652082086375526,0.014008434153357167
SPY,2023-07-28,2023-08-02,3,1,0.007557017606990125,0.0053877398022199,0.002189131943302293,-0.009742631376785368,0.014008434153357167
SPY,2023-07-31,2023-08-02,2,1,0.007557017606990125,0.005373069882613669,0.0020924118072796504,-0.0019024170668851031,0.014008434153357167
SPY,2023-08-01,2023-08-02,1,1,0.007557017606990125,0.004994587095615673,0.0013972926231281503,0.0028657821181795966,0.014008434153357167
SPY,2023-08-02,2023-08-15,9,1,0.007557017606990125,0.006021842579304901,0.0006754778613054056,0.014008434153357167,0.011717316149468254
SPY,2023-08-03,2023-08-15,8,1,0.007557017606990125,0.0060541318649380655,0.0006096762773107862,0.0028701314409993023,0.011717316149468254
SPY,2023-08-04,2023-08-15,7,1,0.007557017606990125,0.005861778951964448,0.0007681774206801106,0.004532926880283917,0.011717316149468254
SPY,2023-08-07,2023-08-15,6,1,0.007557017606990125,0.006054412311223985,0.001302402539070042,-0.008690746700477826,0.011717316149468254
SPY,2023-08-08,2023-08-15,5,1,0.007557017606990125,0.006170090251657021,0.0009744900734676564,0.004358180991939265,0.011717316149468254
SPY,2023-08-09,2023-08-15,4,1,0.007557017606990125,0.006258678951519276,0.00035277643408694484,0.006707688428812949,0.011717316149468254
SPY,2023-08-10,2023-08-15,3,1,0.007557017606990125,0.006008070906310341,-1.1750600280239352e-05,-0.0003588105479352729,0.011717316149468254
SPY,2023-08-11,2023-08-15,2,1,0.007557017606990125,0.0057277883028022175,-0.00041596843457911826,0.0005831060794180996,0.011717316149468254
SPY,2023-08-14,2023-08-15,1,1,0.007557017606990125,0.0058710082535006645,-0.00012417481855895131,-0.005504710483110767,0.011717316149468254
SPY,2023-08-15,2023-08-24,7,1,0.007834182348368138,0.0063241866890774,-0.0008471999044010152,0.011717316149468254,0.013956052206167534
SPY,2023-08-16,2023-08-24,6,1,0.007834182348368138,0.006180374778381125,-0.0015504440845584575,0.007365192686669193,0.013956052206167534
SPY,2023-08-17,2023-08-24,5,1,0.007840222361241867,0.0062540723719326455,-0.0020204731949626143,0.007649165593061108,0.013956052206167534
SPY,2023-08-18,2023-08-24,4,1,0.007840222361241867,0.0061830692343132375,-0.0016805639633726357,-0.00048139685221231,0.013956052206167534
SPY,2023-08-21,2023-08-24,3,1,0.007840222361241867,0.006428292570011381,-0.0013717468806439298,-0.0064851587373028225,0.013956052206167534
SPY,2023-08-22,2023-08-24,2,1,0.007840222361241867,0.00629217885216352,-0.0017131541489992525,0.002712249572345506,0.013956052206167534
SPY,2023-08-23,2023-08-24,1,1,0.00764312558018738,0.00682776107382859,-0.0013155534861258465,-0.011076179475242897,0.013956052206167534
SPY,2023-08-24,2023-09-15,15,1,0.007840222361241867,0.0073502047282616185,-0.0019874408165297666,0.013956052206167534,0.012121464911267749
SPY,2023-08-25,2023-09-15,14,1,0.007840222361241867,0.007520203975767402,-0.0013361463634097201,-0.0070251014291454516,0.012121464911267749
SPY,2023-08-28,2023-09-15,13,1,0.007840222361241867,0.007302085155528919,-0.0014990674160422794,-0.006321289271501626,0.012121464911267749
SPY,2023-08-29,2023-09-15,12,1,0.007840222361241867,0.00805820671308792,-0.000906262448343444,-0.014351321388560644,0.012121464911267749
SPY,2023-08-30,2023-09-15,11,1,0.007840222361241867,0.00811696605414236,-0.0005740676362187773,-0.004110308936438406,0.012121464911267749
SPY,2023-08-31,2023-09-15,10,1,0.007840222361241867,0.007518377495456819,2.3271373765067285e-05,0.0014643149436964302,0.012121464911267749
SPY,2023-09-01,2023-09-15,9,1,0.007840222361241867,0.007498223573325603,0.0002486747711869516,-0.0018633399048602675,0.012121464911267749
SPY,2023-09-05,2023-09-15,8,1,0.007840222361241867,0.0074919214581929535,0.000258275589866173,0.004331309688020267,0.012121464911267749
SPY,2023-09-06,2023-09-15,7,1,0.007840222361241867,0.007379605528190516,-0.00047676123992299285,0.006745026725094656,0.012121464911267749
SPY,2023-09-07,2023-09-15,6,1,0.007840222361241867,0.00735111613842347,-0.0004156537707139403,0.003074924138549162,0.012121464911267749
SPY,2023-09-08,2023-09-15,5,1,0.007840222361241867,0.0072168733336077885,-2.457873402264514e-05,-0.0015048873417042483,0.012121464911267749
SPY,2023-09-11,2023-09-15,4,1,0.007840222361241867,0.007358610343084028,0.0002704857383506567,-0.006555164467774611,0.012121464911267749
SPY,2023-09-12,2023-09-15,3,1,0.007840222361241867,0.007464613045067106,3.631620165812252e-05,0.005500666349961317,0.012121464911267749
SPY,2023-09-13,2023-09-15,2,1,0.007840222361241867,0.007365063038034313,-0.00017033069838994074,-0.0011651255821014386,0.012121464911267749
SPY,2023-09-14,2023-09-15,1,1,0.007840222361241867,0.007101363339437013,0.0007964738443732937,-0.00858557924855967,0.012121464911267749
SPY,2023-09-15,2023-09-21,4,1,0.011331729623625397,0.007442346144309402,0.0005699846908209816,0.012121464911267749,0.016666497565824345
SPY,2023-09-18,2023-09-21,3,1,0.011331729623625397,0.0072006480416946595,0.0009621403097601995,-0.0005861024046624691,0.016666497565824345
SPY,2023-09-19,2023-09-21,2,1,0.011331729623625397,0.007230746260889509,0.0008403640388317077,0.0020759048372860182,0.016666497565824345
SPY,2023-09-20,2023-09-21,1,1,0.011469161562458132,0.007428222100977246,9.174837137123655e-05,0.009235770279367072,0.016666497565824345
SPY,2023-09-21,2023-09-26,3,1,0.012081050035087798,0.008268233317086982,-0.0005727396283182319,0.016666497565824345,0.014800292423267209
SPY,2023-09-22,2023-09-26,2,1,0.012081050035087798,0.007829225499962534,-0.0012073751866595926,0.0022511672499256805,0.014800292423267209
SPY,2023-09-25,2023-09-26,1,1,0.012081050035087798,0.00733797161699513,-0.0003429720988009735,-0.00419641263886347,0.014800292423267209
SPY,2023-09-26,2023-10-25,21,1,0.013772593476677553,0.0077748277251508255,-0.0013822765679634811,0.014800292423267209,0.014456240308140886
SPY,2023-09-27,2023-10-25,20,1,0.013772593476677553,0.0075865562448590084,-0.0016642910629019382,-0.00039898487779402726,0.014456240308140886
SPY,2023-09-28,2023-10-25,19,1,0.013772593476677553,0.00687950328427215,-0.0020724024621935435,-0.0057809820034369274,0.014456240308140886
SPY,2023-09-29,2023-10-25,18,1,0.013772593476677553,0.006732073728631661,-0.002383848071878382,0.0024300488669431997,0.014456240308140886
SPY,2023-10-02,2023-10-25,17,1,0.013772593476677553,0.006743371971586624,-0.0023330580055852222,0.00039772355154007435,0.014456240308140886
SPY,2023-10-03,2023-10-25,16,1,0.013908097891106684,0.0070880983794055,-0.003063527003700428,0.013476509055559048,0.014456240308140886
SPY,2023-10-04,2023-10-25,15,1,0.013908097891106684,0.0074273392694366915,-0.0025117678001890477,-0.007255633585718717,0.014456240308140886
SPY,2023-10-05,2023-10-25,14,1,0.013908097891106684,0.007375680827346476,-0.0022085249895921356,0.0003769277025594975,0.014456240308140886
SPY,2023-10-06,2023-10-25,13,1,0.013908097891106684,0.007978233357704482,-0.0015000538199740866,-0.01180297042342986,0.014456240308140886
SPY,2023-10-09,2023-10-25,12,1,0.013908097891106684,0.0081394218437936,-0.0012678253457589581,-0.006381685300221954,0.014456240308140886
SPY,2023-10-10,2023-10-25,11,1,0.013908097891106684,0.008079097259357966,-0.0013327714978545705,-0.005191295273766745,0.014456240308140886
SPY,2023-10-11,2023-10-25,10,1,0.013908097891106684,0.00810268746019457,-0.000876171071046122,-0.004087942613016101,0.014456240308140886
SPY,2023-10-12,2023-10-25,9,1,0.013908097891106684,0.008166475907378712,-0.0012228489605889308,0.006115110098297545,0.014456240308140886
SPY,2023-10-13,2023-10-25,8,1,0.013908097891106684,0.007883710376309905,-0.00186946574752138,0.004993373277021758,0.014456240308140886
SPY,2023-10-16,2023-10-25,7,1,0.013908097891106684,0.007955623967335597,-0.0007938384081207355,-0.01046670921614578,0.014456240308140886
SPY,2023-10-17,2023-10-25,6,1,0.013908097891106684,0.007951336552692135,-0.000823938338762179,4.599613880784493e-05,0.014456240308140886
SPY,2023-10-18,2023-10-25,5,1,0.013908097891106684,0.008412232974054143,-0.0013638822546607487,0.013414727071155982,0.014456240308140886
SPY,2023-10-19,2023-10-25,4,1,0.013908097891106684,0.008393481170086212,-0.00134433331470543,0.008825242540305379,0.014456240308140886
